"","Year","Industry","Occupation","Female","Male","Black","White","Asian","Other","Total"
"849","2019","Retail trade","Farming, fishing, and forestry",8,11,0,17,0,2,19
"850","2019","Retail trade","Installation, maintenance, and repair",17,573,51,500,18,21,590
"851","2019","Retail trade","Management, business, and financial operations",447,491,72,772,66,27,937
"852","2019","Retail trade","Office and administrative support",1416,1156,366,1925,142,139,2572
"853","2019","Retail trade","Production",180,272,48,348,31,25,452
"854","2019","Retail trade","Professional and related",580,406,97,718,137,34,986
"855","2019","Retail trade","Protective service",18,32,4,44,2,0,50
"856","2019","Retail trade","Sales and related",4415,4035,1025,6623,437,365,8450
"857","2019","Retail trade","Service, except protective",339,273,88,458,36,30,612
"858","2019","Retail trade","Transportation and material moving",296,1179,236,1120,61,58,1475
"859","2019","Transportation and utilities","Construction and extraction",4,174,15,153,5,5,178
"860","2019","Transportation and utilities","Farming, fishing, and forestry",2,5,1,6,0,0,7
"861","2019","Transportation and utilities","Installation, maintenance, and repair",7,511,51,435,17,15,518
"862","2019","Transportation and utilities","Management, business, and financial operations",302,631,110,756,50,17,933
"863","2019","Transportation and utilities","Office and administrative support",885,1003,422,1271,111,84,1888
"864","2019","Transportation and utilities","Production",70,335,66,307,21,11,405
"865","2019","Transportation and utilities","Professional and related",94,316,47,301,57,5,410
"866","2019","Transportation and utilities","Protective service",6,35,7,31,1,3,42
"867","2019","Transportation and utilities","Sales and related",44,91,19,108,7,2,136
"868","2019","Transportation and utilities","Service, except protective",53,89,32,94,10,6,142
"869","2019","Transportation and utilities","Transportation and material moving",699,3633,1041,2924,220,147,4332
"870","2019","Wholesale trade","Construction and extraction",0,23,0,23,0,0,23
"871","2019","Wholesale trade","Farming, fishing, and forestry",21,18,11,26,3,0,40
"872","2019","Wholesale trade","Installation, maintenance, and repair",6,122,4,119,2,3,128
"873","2019","Wholesale trade","Management, business, and financial operations",172,346,18,447,37,16,518
"874","2019","Wholesale trade","Office and administrative support",304,221,61,414,32,18,525
"875","2019","Wholesale trade","Production",24,89,16,87,4,6,113
"876","2019","Wholesale trade","Professional and related",60,110,6,135,20,9,170
"877","2019","Wholesale trade","Protective service",2,5,2,5,0,0,7
"878","2019","Wholesale trade","Sales and related",305,1004,71,1154,67,17,1309
"879","2019","Wholesale trade","Service, except protective",16,30,14,28,2,2,46
"880","2019","Wholesale trade","Transportation and material moving",96,550,117,486,22,21,646
"881","2020","Agriculture and related","Construction and extraction",0,10,2,8,0,0,10
"882","2020","Agriculture and related","Farming, fishing, and forestry",217,714,38,840,12,41,931
"883","2020","Agriculture and related","Installation, maintenance, and repair",2,31,3,29,0,1,33
"884","2020","Agriculture and related","Management, business, and financial operations",253,707,6,926,7,22,961
"885","2020","Agriculture and related","Office and administrative support",79,16,1,91,2,2,96
"886","2020","Agriculture and related","Production",7,36,2,35,3,2,42
"887","2020","Agriculture and related","Professional and related",22,36,5,48,3,2,58
"888","2020","Agriculture and related","Protective service",2,11,0,12,0,1,13
"889","2020","Agriculture and related","Sales and related",6,6,1,11,0,0,12
"890","2020","Agriculture and related","Service, except protective",42,52,4,86,0,4,94
"891","2020","Agriculture and related","Transportation and material moving",20,80,4,83,1,11,99
"892","2020","Construction","Construction and extraction",247,6157,417,5660,94,233,6404
"893","2020","Construction","Farming, fishing, and forestry",0,6,2,3,1,0,6
"894","2020","Construction","Installation, maintenance, and repair",14,604,52,530,13,23,618
"895","2020","Construction","Management, business, and financial operations",316,1894,80,2018,50,62,2210
"896","2020","Construction","Office and administrative support",444,101,19,500,15,11,545
"897","2020","Construction","Production",7,147,11,128,2,12,153
"898","2020","Construction","Professional and related",82,256,25,268,35,9,337
"899","2020","Construction","Protective service",4,10,2,11,0,1,14
"900","2020","Construction","Sales and related",32,112,6,134,2,3,145
"901","2020","Construction","Service, except protective",14,32,2,41,0,3,46
"902","2020","Construction","Transportation and material moving",14,294,31,258,3,15,307
"903","2020","Education and health services","Construction and extraction",8,75,16,61,4,2,83
"904","2020","Education and health services","Farming, fishing, and forestry",1,4,0,5,0,0,5
"905","2020","Education and health services","Installation, maintenance, and repair",16,181,26,160,7,4,197
"906","2020","Education and health services","Management, business, and financial operations",2506,1187,517,2883,181,112,3693
"907","2020","Education and health services","Office and administrative support",2918,340,471,2509,161,117,3258
"908","2020","Education and health services","Production",99,65,24,133,4,3,164
"909","2020","Education and health services","Professional and related",14297,5243,2282,15241,1429,588,19540
"910","2020","Education and health services","Protective service",58,120,31,140,2,6,179
"911","2020","Education and health services","Sales and related",105,33,16,113,7,2,138
"912","2020","Education and health services","Service, except protective",5259,1236,1598,4313,328,256,6495
"913","2020","Education and health services","Transportation and material moving",165,187,74,260,9,9,352
"914","2020","Financial activities","Construction and extraction",2,46,7,38,2,1,48
"915","2020","Financial activities","Farming, fishing, and forestry",0,1,0,1,0,0,1
"916","2020","Financial activities","Installation, maintenance, and repair",14,151,20,133,3,8,164
"917","2020","Financial activities","Management, business, and financial operations",2276,2454,461,3756,392,120,4729
"918","2020","Financial activities","Office and administrative support",1502,430,274,1529,88,41,1932
"919","2020","Financial activities","Production",20,25,6,33,3,3,45
"920","2020","Financial activities","Professional and related",460,621,97,755,208,21,1081
"921","2020","Financial activities","Protective service",20,36,17,37,0,2,56
"922","2020","Financial activities","Sales and related",1143,1140,190,1908,129,56,2283
"923","2020","Financial activities","Service, except protective",77,146,33,169,10,10,222
"924","2020","Financial activities","Transportation and material moving",10,72,10,70,1,2,83
"925","2020","Information","Construction and extraction",0,12,2,11,0,-1,12
"926","2020","Information","Farming, fishing, and forestry",0,0,0,0,0,0,0
"927","2020","Information","Installation, maintenance, and repair",25,194,39,168,4,8,219
"928","2020","Information","Management, business, and financial operations",290,361,59,514,64,14,651
"929","2020","Information","Office and administrative support",215,114,67,233,15,14,329
"930","2020","Information","Production",8,15,2,20,1,0,23
"931","2020","Information","Professional and related",405,690,98,815,158,24,1095
"932","2020","Information","Protective service",3,3,2,4,0,0,6
"933","2020","Information","Sales and related",82,118,23,163,8,6,200
"934","2020","Information","Service, except protective",15,22,6,26,2,4,38
"935","2020","Information","Transportation and material moving",7,16,0,21,1,1,23
"936","2020","Leisure and hospitality","Construction and extraction",1,34,5,25,2,3,35
"937","2020","Leisure and hospitality","Farming, fishing, and forestry",1,7,0,7,0,1,8
"938","2020","Leisure and hospitality","Installation, maintenance, and repair",5,87,6,76,3,7,92
"939","2020","Leisure and hospitality","Management, business, and financial operations",957,1053,190,1595,151,73,2009
"940","2020","Leisure and hospitality","Office and administrative support",437,166,81,447,34,42,604
"941","2020","Leisure and hospitality","Production",52,54,19,77,6,4,106
"942","2020","Leisure and hospitality","Professional and related",353,442,75,639,39,42,795
"943","2020","Leisure and hospitality","Protective service",46,104,12,122,3,12,149
"944","2020","Leisure and hospitality","Sales and related",592,268,175,586,49,50,860
"945","2020","Leisure and hospitality","Service, except protective",3274,3209,855,4859,426,342,6482
"946","2020","Leisure and hospitality","Transportation and material moving",69,271,47,258,14,21,340
"947","2020","Manufacturing, durable goods","Construction and extraction",12,221,15,209,4,5,233
"948","2020","Manufacturing, durable goods","Farming, fishing, and forestry",0,7,0,6,0,1,7
"949","2020","Manufacturing, durable goods","Installation, maintenance, and repair",32,383,45,354,12,3,414
"950","2020","Manufacturing, durable goods","Management, business, and financial operations",570,1197,96,1491,132,48,1767
"951","2020","Manufacturing, durable goods","Office and administrative support",406,290,55,596,29,17,697
"952","2020","Manufacturing, durable goods","Production",760,2562,424,2601,200,97,3322
"953","2020","Manufacturing, durable goods","Professional and related",315,1305,88,1234,257,41,1620
"954","2020","Manufacturing, durable goods","Protective service",5,12,1,15,0,1,17
"955","2020","Manufacturing, durable goods","Sales and related",87,257,12,301,15,16,344
"956","2020","Manufacturing, durable goods","Service, except protective",29,50,15,57,5,2,79
"957","2020","Manufacturing, durable goods","Transportation and material moving",99,530,117,466,21,25,629
"958","2020","Manufacturing, nondurable goods","Construction and extraction",2,66,7,56,2,3,68
"959","2020","Manufacturing, nondurable goods","Farming, fishing, and forestry",3,8,1,10,0,0,11
"960","2020","Manufacturing, nondurable goods","Installation, maintenance, and repair",14,224,20,209,5,5,239
"961","2020","Manufacturing, nondurable goods","Management, business, and financial operations",445,634,53,923,77,25,1078
"962","2020","Manufacturing, nondurable goods","Office and administrative support",276,176,48,369,16,18,451
"963","2020","Manufacturing, nondurable goods","Production",717,1295,320,1520,100,72,2012
"964","2020","Manufacturing, nondurable goods","Professional and related",210,417,42,465,100,20,627
"965","2020","Manufacturing, nondurable goods","Protective service",4,13,4,12,2,-1,17
"966","2020","Manufacturing, nondurable goods","Sales and related",143,145,20,246,16,6,288
"967","2020","Manufacturing, nondurable goods","Service, except protective",37,61,15,72,5,5,97
"968","2020","Manufacturing, nondurable goods","Transportation and material moving",131,402,96,386,26,25,533
"969","2020","Mining, quarrying, and oil and gas extraction","Construction and extraction",8,200,12,188,1,7,208
